accession	reason
SRR7218911	busco_completeness_below_0.5
SRR7218912	busco_completeness_below_0.5
SRR7218913	busco_completeness_below_0.5
SRR7221535	busco_completeness_below_0.5
SRR7346504	busco_completeness_below_0.5
SRR7366895	busco_completeness_below_0.5
SRR7366942	busco_completeness_below_0.5
SRR7412621	busco_completeness_below_0.5
SRR7412622	busco_completeness_below_0.5
SRR7412623	busco_completeness_below_0.5
SRR7412624	busco_completeness_below_0.5
SRR7412625	busco_completeness_below_0.5
SRR7412626	busco_completeness_below_0.5
SRR7412627	busco_completeness_below_0.5
SRR7412629	busco_completeness_below_0.5
SRR7412630	busco_completeness_below_0.5
SRR7412632	busco_completeness_below_0.5
SRR7412633	busco_completeness_below_0.5
SRR7412634	busco_completeness_below_0.5
SRR7686413	busco_completeness_below_0.5
SRR7703406	busco_completeness_below_0.5
SRR7703420	busco_completeness_below_0.5
SRR7796281	busco_completeness_below_0.5
SRR7796287	busco_completeness_below_0.5
